Group,Day,Time,Discipline,Classroom,Type,Lecturer,Program
AIB-2501,Monday,08:00-08:50,"Presentation, Communication & Negotiation",online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
AIB-2501,Monday,09:00-09:50,"Presentation, Communication & Negotiation",online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
AIB-2501,Monday,10:00-10:50,Business Project (Simulation),C1.3.264L,lecture,Borashova Sholpan,Schedules_1 course_3 trim
AIB-2501,Monday,11:00-11:50,Business Project (Simulation),C1.3.264L,lecture,Borashova Sholpan,Schedules_1 course_3 trim
AIB-2501,Monday,12:00-12:50,"Governance, Risk and Compliance",C1.3.322,practice,Symbat Ashimkhanova,Schedules_1 course_3 trim
AIB-2501,Monday,13:05-13:55,"Governance, Risk and Compliance",C1.3.322,practice,Symbat Ashimkhanova,Schedules_1 course_3 trim
AIB-2501,Wednesday,10:00-10:50,Business Project (Simulation),C1.2.226P,practice,Aiganym Jaras,Schedules_1 course_3 trim
AIB-2501,Wednesday,11:00-11:50,"Governance, Risk and Compliance",C1.3.322,practice,Symbat Ashimkhanova,Schedules_1 course_3 trim
AIB-2501,Wednesday,12:00-12:50,History of Kazakhstan (State Exam),C1.2.227P,practice,Azimbayeva Gulzhan,Schedules_1 course_3 trim
AIB-2501,Wednesday,13:05-13:55,History of Kazakhstan (State Exam),C1.2.227P,practice,Azimbayeva Gulzhan,Schedules_1 course_3 trim
AIB-2501,Wednesday,16:00-16:50,History of Kazakhstan (State Exam),online,practice,Azimbayeva Gulzhan,Schedules_1 course_3 trim
AIB-2501,Thursday,08:00-08:50,"Presentation, Communication & Negotiation",C1.1.226P,practice,Madina Mukaliyeva,Schedules_1 course_3 trim
AIB-2501,Thursday,09:00-09:50,Business Project (Simulation),C1.3.244,practice,Aiganym Jaras,Schedules_1 course_3 trim
AIB-2501,Thursday,10:00-10:50,Business Project (Simulation),C1.3.244,practice,Aiganym Jaras,Schedules_1 course_3 trim
AIB-2501,Thursday,12:00-12:50,Political Science,C1.1.253P,practice,Saltanat Zhalmagambetova,Schedules_1 course_3 trim
AIB-2501,Friday,13:05-13:55,History of Kazakhstan (State Exam),online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
AIB-2501,Friday,14:00-14:50,History of Kazakhstan (State Exam),online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
AIB-2501,Friday,15:00-15:50,Political Science,online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
AIB-2501,Saturday,08:00-08:50,"Governance, Risk and Compliance",C1.1.224P,lecture,Zhuldyz Davletbayeva,Schedules_1 course_3 trim
AIB-2501,Saturday,08:00-08:50,Technology & Innovation Management,C1.2.251L,lecture,Armiyash Nurmagambetova,Schedules_1 course_3 trim
AIB-2501,Saturday,09:00-09:50,"Governance, Risk and Compliance",C1.1.224P,lecture,Zhuldyz Davletbayeva,Schedules_1 course_3 trim
AIB-2501,Saturday,09:00-09:50,Technology & Innovation Management,C1.2.251L,lecture,Armiyash Nurmagambetova,Schedules_1 course_3 trim
AIB-2501,Saturday,10:00-10:50,Technology & Innovation Management,C1.3.319,practice,Armiyash Nurmagambetova,Schedules_1 course_3 trim
AIB-2501,Saturday,11:00-11:50,Technology & Innovation Management,C1.3.319,practice,Armiyash Nurmagambetova,Schedules_1 course_3 trim
AIB-2501,Saturday,12:00-12:50,Technology & Innovation Management,C1.3.319,practice,Armiyash Nurmagambetova,Schedules_1 course_3 trim
AIB-2501,Saturday,13:05-13:55,"Presentation, Communication & Negotiation",C1.1.225P,practice,Madina Mukaliyeva,Schedules_1 course_3 trim
AIB-2501,Saturday,14:00-14:50,"Presentation, Communication & Negotiation",C1.1.225P,practice,Madina Mukaliyeva,Schedules_1 course_3 trim
AIB-2502,Monday,08:00-08:50,"Presentation, Communication & Negotiation",online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
AIB-2502,Monday,09:00-09:50,"Presentation, Communication & Negotiation",online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
AIB-2502,Monday,10:00-10:50,Business Project (Simulation),C1.3.264L,lecture,Borashova Sholpan,Schedules_1 course_3 trim
AIB-2502,Monday,11:00-11:50,Business Project (Simulation),C1.3.264L,lecture,Borashova Sholpan,Schedules_1 course_3 trim
AIB-2502,Monday,12:00-12:50,"Governance, Risk and Compliance",C1.3.322,practice,Symbat Ashimkhanova,Schedules_1 course_3 trim
AIB-2502,Monday,13:05-13:55,"Governance, Risk and Compliance",C1.3.322,practice,Symbat Ashimkhanova,Schedules_1 course_3 trim
AIB-2502,Wednesday,11:00-11:50,"Governance, Risk and Compliance",C1.3.322,practice,Symbat Ashimkhanova,Schedules_1 course_3 trim
AIB-2502,Wednesday,12:00-12:50,Business Project (Simulation),C1.1.366P,practice,Zhanna Zhassulankyzy,Schedules_1 course_3 trim
AIB-2502,Wednesday,13:05-13:55,Political Science,C1.1.253P,practice,Saltanat Zhalmagambetova,Schedules_1 course_3 trim
AIB-2502,Wednesday,16:00-16:50,History of Kazakhstan (State Exam),online,practice,Azimbayeva Gulzhan,Schedules_1 course_3 trim
AIB-2502,Thursday,08:00-08:50,History of Kazakhstan (State Exam),C1.2.227P,practice,Azimbayeva Gulzhan,Schedules_1 course_3 trim
AIB-2502,Thursday,09:00-09:50,History of Kazakhstan (State Exam),C1.2.227P,practice,Azimbayeva Gulzhan,Schedules_1 course_3 trim
AIB-2502,Thursday,10:00-10:50,Business Project (Simulation),C1.2.226P,practice,Zhanna Zhassulankyzy,Schedules_1 course_3 trim
AIB-2502,Thursday,11:00-11:50,Business Project (Simulation),C1.2.226P,practice,Zhanna Zhassulankyzy,Schedules_1 course_3 trim
AIB-2502,Thursday,13:05-13:55,"Presentation, Communication & Negotiation",C1.1.226P,practice,Madina Mukaliyeva,Schedules_1 course_3 trim
AIB-2502,Friday,13:05-13:55,History of Kazakhstan (State Exam),online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
AIB-2502,Friday,14:00-14:50,History of Kazakhstan (State Exam),online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
AIB-2502,Friday,15:00-15:50,Political Science,online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
AIB-2502,Saturday,08:00-08:50,"Governance, Risk and Compliance",C1.1.224P,lecture,Zhuldyz Davletbayeva,Schedules_1 course_3 trim
AIB-2502,Saturday,08:00-08:50,Technology & Innovation Management,C1.2.251L,lecture,Armiyash Nurmagambetova,Schedules_1 course_3 trim
AIB-2502,Saturday,09:00-09:50,"Governance, Risk and Compliance",C1.1.224P,lecture,Zhuldyz Davletbayeva,Schedules_1 course_3 trim
AIB-2502,Saturday,09:00-09:50,Technology & Innovation Management,C1.2.251L,lecture,Armiyash Nurmagambetova,Schedules_1 course_3 trim
AIB-2502,Saturday,10:00-10:50,"Presentation, Communication & Negotiation",C1.1.225P,practice,Madina Mukaliyeva,Schedules_1 course_3 trim
AIB-2502,Saturday,11:00-11:50,"Presentation, Communication & Negotiation",C1.1.225P,practice,Madina Mukaliyeva,Schedules_1 course_3 trim
AIB-2502,Saturday,12:00-12:50,Technology & Innovation Management,C1.1.347P,practice,Muratov Sayat,Schedules_1 course_3 trim
AIB-2502,Saturday,13:05-13:55,Technology & Innovation Management,C1.1.347P,practice,Muratov Sayat,Schedules_1 course_3 trim
